#,时间,模型,消息数,工具数,thinking预算,输入think块,cache断点,输入tok(全价),cache读(10%),cache写(125%),输出tok
32,2026-05-31T00:03:34,claude-opus-4-8,1,1,,0,0,20261,0,0,2636
29,2026-05-31T00:03:34,claude-opus-4-8,1,1,,0,0,18027,0,0,2440
34,2026-05-31T00:03:35,claude-opus-4-8,1,1,,0,0,33940,0,0,2829
37,2026-05-31T00:04:06,claude-opus-4-8,7,20,,0,3,4313,19816,3093,313
36,2026-05-31T00:03:35,claude-opus-4-8,1,1,,0,0,19496,0,0,3279
42,2026-05-31T00:04:11,claude-opus-4-8,1,0,,0,2,106,13298,692,7
41,2026-05-31T00:04:11,claude-opus-4-8,1,0,,0,2,106,13298,693,7
33,2026-05-31T00:03:34,claude-opus-4-8,1,1,,0,0,21095,0,0,3358
40,2026-05-31T00:04:11,claude-opus-4-8,1,0,,0,2,106,13298,706,7
39,2026-05-31T00:04:10,claude-opus-4-8,4,25,,0,3,13240,27127,14744,209
38,2026-05-31T00:04:06,claude-opus-4-8,6,20,,0,3,6579,19750,7670,591
46,2026-05-31T00:04:14,claude-opus-4-8,1,0,,0,2,106,13298,940,7
50,2026-05-31T00:04:16,claude-opus-4-8,1,0,,0,2,106,13298,833,7
49,2026-05-31T00:04:15,claude-opus-4-8,2,0,,0,3,106,13298,12096,7
48,2026-05-31T00:04:15,claude-opus-4-8,1,0,,0,2,106,13298,893,7
45,2026-05-31T00:04:14,claude-opus-4-8,6,20,,0,3,6363,20033,11503,637
53,2026-05-31T00:04:26,claude-opus-4-8,1,0,,0,2,106,13298,1092,7
54,2026-05-31T00:04:28,claude-opus-4-8,1,0,,0,2,106,13298,1030,7
55,2026-05-31T00:04:30,claude-opus-4-8,9,20,,0,3,131,31536,7162,425
57,2026-05-31T00:04:37,claude-opus-4-8,1,0,,0,2,106,14390,277,7
56,2026-05-31T00:04:37,claude-opus-4-8,1,0,,0,2,106,14390,327,7
51,2026-05-31T00:04:17,claude-opus-4-8,1,1,,0,0,82539,0,0,1854
58,2026-05-31T00:04:41,claude-opus-4-8,11,20,,0,3,84,38698,637,321
61,2026-05-31T00:04:49,claude-opus-4-8,1,0,,0,2,106,14717,145,7
60,2026-05-31T00:04:49,claude-opus-4-8,1,0,,0,2,106,14717,143,7
44,2026-05-31T00:04:13,claude-opus-4-8,1,1,,0,0,20490,0,0,3092
47,2026-05-31T00:04:15,claude-opus-4-8,1,1,,0,0,47472,0,0,3297
43,2026-05-31T00:04:13,claude-opus-4-8,1,1,,0,0,28087,0,0,3554
52,2026-05-31T00:04:18,claude-opus-4-8,6,25,,1,3,2,41871,16808,3391
64,2026-05-31T00:04:59,claude-opus-4-8,10,20,,0,3,131,22909,17121,437
63,2026-05-31T00:04:53,claude-opus-4-8,1,1,,0,0,14124,0,0,1129
66,2026-05-31T00:05:09,claude-opus-4-8,1,0,,0,2,106,14004,192,7
65,2026-05-31T00:05:07,claude-opus-4-8,2,0,,0,3,106,25394,800,7
67,2026-05-31T00:05:09,claude-opus-4-8,1,0,,0,2,106,14004,208,7
68,2026-05-31T00:05:11,claude-opus-4-8,12,20,,0,3,2,40030,732,492
62,2026-05-31T00:04:53,claude-opus-4-8,1,1,,0,0,18900,0,0,2196
71,2026-05-31T00:05:19,claude-opus-4-8,1,0,,0,2,106,14196,245,7
70,2026-05-31T00:05:18,claude-opus-4-8,1,0,,0,2,106,14196,323,7
73,2026-05-31T00:05:25,claude-opus-4-8,14,20,,0,3,85,40762,579,288
75,2026-05-31T00:05:31,claude-opus-4-8,1,0,,0,2,106,14519,157,7
74,2026-05-31T00:05:31,claude-opus-4-8,1,0,,0,2,106,14519,170,7
59,2026-05-31T00:04:41,claude-opus-4-8,9,20,,0,3,131,27420,11246,4502
78,2026-05-31T00:05:37,claude-opus-4-8,1,0,,0,2,106,13298,662,7
69,2026-05-31T00:05:11,claude-opus-4-8,8,25,,2,3,2,58679,4162,1685
77,2026-05-31T00:05:32,claude-opus-4-8,1,1,,0,0,18107,0,0,1935
19,2026-05-31T00:02:09,claude-opus-4-8,180,25,,51,3,2,405697,600,18605
76,2026-05-31T00:05:32,claude-opus-4-8,1,1,,0,0,37795,0,0,3502
79,2026-05-31T00:06:12,claude-opus-4-8,2,0,,0,3,106,121495,141,7
72,2026-05-31T00:05:20,claude-opus-4-8,13,20,,0,3,2,39335,5398,5178
82,2026-05-31T00:06:31,claude-opus-4-8,1,0,,0,2,106,13298,1123,7
81,2026-05-31T00:06:16,claude-opus-4-8,182,25,,52,3,2,406297,19040,732
83,2026-05-31T00:06:36,claude-opus-4-8,184,25,,53,3,2,425337,799,151
84,2026-05-31T00:06:42,claude-opus-4-8,186,25,,54,3,2,426136,990,513
85,2026-05-31T00:06:49,claude-opus-4-8,2,0,,0,3,106,121636,618,7
86,2026-05-31T00:06:52,claude-opus-4-8,188,25,,54,3,2,427126,564,177
87,2026-05-31T00:06:58,claude-opus-4-8,191,25,,55,3,131,427690,816,521
88,2026-05-31T00:07:06,claude-opus-4-8,2,0,,0,3,106,122254,269,7
89,2026-05-31T00:07:13,claude-opus-4-8,193,25,,55,3,2,428506,701,357
90,2026-05-31T00:07:20,claude-opus-4-8,2,0,,0,3,106,122523,83,7
91,2026-05-31T00:07:22,claude-opus-4-8,195,25,,56,3,2,429207,408,835
92,2026-05-31T00:07:34,claude-opus-4-8,2,0,,0,3,106,122606,465,7
80,2026-05-31T00:06:15,claude-opus-4-8,16,20,,0,3,2,41341,7180,7016
93,2026-05-31T00:07:36,claude-opus-4-8,197,25,,56,3,2,429615,890,758
94,2026-05-31T00:07:44,claude-opus-4-8,1,0,,0,2,106,13298,974,7
95,2026-05-31T00:07:48,claude-opus-4-8,2,0,,0,3,106,123071,407,7
97,2026-05-31T00:07:50,claude-opus-4-8,199,25,,56,3,2,430505,813,942
98,2026-05-31T00:08:03,claude-opus-4-8,2,0,,0,3,106,123478,438,7
99,2026-05-31T00:08:05,claude-opus-4-8,201,25,,56,3,2,431318,997,387
100,2026-05-31T00:08:12,claude-opus-4-8,2,0,,0,3,106,123916,316,7
101,2026-05-31T00:08:15,claude-opus-4-8,203,25,,56,3,2,432315,518,919
104,2026-05-31T00:08:33,claude-opus-4-8,2,0,,0,3,106,124232,261,7
105,2026-05-31T00:08:37,claude-opus-4-8,205,25,,57,3,2,432833,1285,1635
103,2026-05-31T00:08:22,claude-opus-4-8,10,25,,3,3,2,62841,1860,3703
96,2026-05-31T00:07:48,claude-opus-4-8,10,27,,2,3,2,0,57424,15057
107,2026-05-31T00:10:47,claude-opus-4-8,12,27,,3,3,2,57424,15109,158
108,2026-05-31T00:10:55,claude-opus-4-8,1,0,,0,2,106,13298,15461,7
106,2026-05-31T00:10:19,claude-opus-4-8,13,25,,3,3,4260,27127,37556,3197
109,2026-05-31T00:10:56,claude-opus-4-8,15,27,,4,3,131,72533,192,1475
110,2026-05-31T00:11:17,claude-opus-4-8,15,25,,4,3,2,64683,7612,1526
111,2026-05-31T00:11:37,claude-opus-4-8,18,25,,5,3,131,72295,3318,1215
113,2026-05-31T00:12:06,claude-opus-4-8,207,25,,58,3,94,434118,1635,104
112,2026-05-31T00:11:58,claude-opus-4-8,20,25,,6,3,2,75613,1640,1782
114,2026-05-31T00:12:27,claude-opus-4-8,22,25,,7,3,2,77253,1850,3579
115,2026-05-31T00:13:43,claude-opus-4-8,24,25,,7,3,2,79103,3626,1146
116,2026-05-31T00:14:26,claude-opus-4-8,17,27,,5,3,94,0,74331,100
117,2026-05-31T00:15:42,claude-opus-4-8,27,25,,8,3,4260,82729,1218,25
118,2026-05-31T00:16:19,claude-opus-4-8,26,25,,8,3,2,82729,1231,1571
119,2026-05-31T00:16:43,claude-opus-4-8,28,25,,9,3,2,83960,2601,4919
120,2026-05-31T00:18:12,claude-opus-4-8,31,25,,10,3,246,86561,4969,967
121,2026-05-31T00:21:06,claude-opus-4-8,34,25,,10,3,40,91530,1399,573
123,2026-05-31T00:21:20,claude-opus-4-8,1,1,,0,0,20198,0,0,1508
122,2026-05-31T00:21:20,claude-opus-4-8,1,1,,0,0,12360,0,0,1462
124,2026-05-31T00:21:38,claude-opus-4-8,36,25,,11,3,2230,92929,2532,3550
125,2026-05-31T00:22:40,claude-opus-4-8,38,25,,12,3,2,95461,5852,765
126,2026-05-31T00:23:26,claude-opus-4-8,40,25,,13,3,2,101313,878,1616
127,2026-05-31T00:23:51,claude-opus-4-8,1,1,,0,0,10853,0,0,1673
128,2026-05-31T00:23:51,claude-opus-4-8,1,1,,0,0,16923,0,0,1946
129,2026-05-31T00:24:14,claude-opus-4-8,43,25,,14,3,131,102191,5870,4059
130,2026-05-31T00:25:18,claude-opus-4-8,2,0,,0,3,106,0,37973,7
131,2026-05-31T00:25:21,claude-opus-4-8,45,25,,15,3,2,108061,4683,2302
132,2026-05-31T00:25:51,claude-opus-4-8,2,0,,0,3,106,37973,1160,8
133,2026-05-31T00:25:53,claude-opus-4-8,2,0,,0,3,2,39133,129,1142
